feature,mean_abs_shap,mean_shap
z_sipri_milex_constant_2023_usd_millions,0.3509417,-0.2098145
z_acled_violence_against_civilians_events_roll6m,0.31286842,-0.17249788
z_wdi_gdp_per_capita_current_usd,0.2367479,-0.16889893
z_wdi_forcibly_displaced_people,0.2188496,-0.10005033
z_vdem_participatory_democracy_index,0.16983122,-0.10897152
z_log_acled_violence_against_civilians_events_roll6m,0.15447257,-0.08691533
z_acled_violence_against_civilians_events_roll12m,0.15223677,-0.11017461
z_log_sipri_milex_constant_2023_usd_millions,0.15018368,-0.089532584
z_vdem_deliberative_democracy_index_delta12m,0.13128291,-0.09789558
z_wdi_employment_to_population_ratio_15plus_total_pct,0.10345216,-0.050640527
z_wdi_fuel_exports_pct_merchandise_exports_lag12,0.09922309,-0.07987642
z_vdem_egalitarian_democracy_index_delta12m,0.09402742,-0.06923183
z_vdem_participatory_democracy_index_delta12m,0.092191264,-0.06099148
z_wdi_gdp_per_capita_current_usd_lag1,0.08835724,-0.062367976
z_wdi_military_expenditure_pct_of_gdp,0.08782337,-0.023228757
z_ucdp_conflict_count_roll12m,0.08359458,-0.07445784
z_vdem_egalitarian_democracy_index,0.07887229,-0.034291912
z_wdi_commercial_service_imports_current_usd_delta12m,0.07693779,-0.073747024
z_wdi_gdp_per_capita_current_usd_roll3m,0.07481466,-0.047231082
z_vdem_liberal_democracy_index_delta12m,0.07373626,-0.04666859
z_vdem_participatory_democracy_index_lag12,0.06986919,-0.04882297
z_wdi_gdp_per_capita_current_usd_lag3,0.0650953,-0.0480431
z_vdem_deliberative_democracy_index_roll12m,0.06433589,-0.058598097
z_vdem_electoral_democracy_index_lag12,0.0634254,-0.04867222
z_acled_battles_fatalities_roll3m,0.062253136,-0.04408638
z_sipri_milex_share_of_gdp_pct,0.06200953,-0.019657189
z_acled_riots_events_roll3m,0.057919387,-0.042205226
z_vdem_liberal_democracy_index,0.057344425,-0.03827166
z_wdi_external_debt_stocks_pct_gni_lag6,0.054176338,-0.02553984
z_vdem_participatory_democracy_index_lag6,0.051055063,-0.023003992
z_wdi_fuel_exports_pct_merchandise_exports_roll12m,0.047281545,-0.03439063
z_log_wdi_gdp_per_capita_current_usd,0.044706985,-0.033245545
z_sipri_milex_constant_2023_usd_millions_lag3,0.041812412,-0.041517984
z_sipri_milex_constant_2023_usd_millions_delta12m,0.041539393,-0.032462027
z_wdi_fuel_imports_pct_merchandise_imports_roll12m,0.041428097,-0.03193252
z_wdi_international_migrant_stock_pct_population_roll6m,0.041333828,0.0072183413
z_vdem_electoral_democracy_index_lag3,0.04012455,-0.033622846
z_sipri_milex_constant_2023_usd_millions_roll12m,0.040017135,-0.030667938
z_sipri_milex_per_capita_constant_2023_usd_lag3,0.038695216,-0.030054875
z_wdi_employment_to_population_ratio_15plus_total_pct_lag3,0.03534057,-0.018435769
