feature,mean_shap,mean_abs_shap
z_wdi_gdp_per_capita_current_usd,0.6335672,0.6335672
z_wdi_gdp_per_capita_current_usd_lag1,0.23205304,0.23205304
z_ucdp_conflict_count_roll12m,0.22889924,0.22889924
z_acled_violence_against_civilians_events_roll6m,0.19287223,0.19287223
z_wdi_gdp_per_capita_current_usd_roll3m,0.18954389,0.18954389
z_wdi_forcibly_displaced_people,0.18309754,0.18309754
z_vdem_participatory_democracy_index,0.17706975,0.17706975
z_sipri_milex_constant_2023_usd_millions,-0.14831321,0.14831321
z_wdi_military_expenditure_pct_of_gdp,0.11825964,0.11825964
z_acled_battles_fatalities_roll3m,0.09805444,0.1131953
z_log_acled_violence_against_civilians_events_roll6m,0.09863924,0.09863924
z_wdi_gdp_per_capita_current_usd_lag3,0.086685844,0.086685844
z_log_wdi_gdp_per_capita_current_usd,0.07787064,0.07787064
z_vdem_liberal_democracy_index,0.07189558,0.07189558
z_vdem_participatory_democracy_index_delta12m,0.06356329,0.06356329
z_acled_violence_against_civilians_events_roll12m,0.06304121,0.06304121
z_log_wdi_gdp_per_capita_current_usd_roll3m,0.051725663,0.051725663
z_wdi_gdp_per_capita_current_usd_roll6m,0.051704057,0.051704057
z_log_sipri_milex_constant_2023_usd_millions,-0.05160345,0.05160345
z_wdi_employment_to_population_ratio_15plus_total_pct,-0.04990864,0.04990864
z_sipri_milex_share_of_gdp_pct,0.04736725,0.04736725
z_vdem_deliberative_democracy_index_delta12m,0.043975063,0.043975063
z_log_wdi_gdp_per_capita_current_usd_lag1,0.042160746,0.042160746
z_acled_riots_events_roll3m,0.0415749,0.0415749
z_wdi_gdp_per_capita_current_usd_lag12,0.040010396,0.040010396
z_wdi_fuel_exports_pct_merchandise_exports_lag12,-0.038224127,0.038224127
z_wdi_commercial_service_exports_current_usd_roll12m,0.037587654,0.037587654
z_vdem_participatory_democracy_index_lag12,0.03689644,0.03689644
z_vdem_liberal_democracy_index_delta12m,0.03218688,0.03218688
z_vdem_egalitarian_democracy_index_delta12m,0.032186415,0.032186415
z_log_wdi_employment_to_population_ratio_15plus_total_pct,-0.031369817,0.031369817
z_wdi_gdp_per_capita_current_usd_roll12m,0.027144102,0.027144102
z_acled_riots_fatalities_delta6m,-0.025890198,0.026527163
z_log_sipri_milex_share_of_gdp_pct,0.025794413,0.025794413
z_vdem_electoral_democracy_index_lag3,0.025054744,0.025054744
z_acled_total_fatalities_delta6m,-0.020361356,0.024864886
